chrom,start,stop,annotation,annotation_start
CP075068.1,8291762,8292262,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 502",RLX
CP075068.1,8292246,8297665,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 1539 6960",RLX
CP075068.1,8297666,8298187,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 4437 4955",DTX
CP075068.1,8298167,8298188,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1011 5288",DTX
CP075068.1,8298189,8302453,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 6053 10325",DMX
CP075068.1,8302498,8303277,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 10326 11103",DMX
CP075068.1,8303278,8303509,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 5333 6350",DTX
CP075068.1,8303543,8304021,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6351 6852",DTX
CP075068.1,8304022,8309487,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 1 5425",DTX
CP075068.1,8308640,8311095,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 6276 8678",DTX
CP075068.1,8309025,8317329,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 1 8463",DTX
CP075068.1,8315990,8316990,"RXX-LARD_Blc184_Cpos_C735-L-B59-Map1"" 1580 2490",RXX
CP075068.1,8316991,8318582,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 3 1593",DTX
CP075068.1,8317648,8320091,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 6276 8683",DTX
CP075068.1,8317997,8321477,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 4949 8463",DTX
CP075068.1,8321478,8321956,"DTX-incomp_Blc5_Supercontig_3.5_33765_39583_DNA_hAT_reversed"" 1 479",DTX
CP075068.1,8322051,8327315,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1024 6289",DTX
CP075068.1,8327301,8327363,"DTX-incomp-chim_Blc5_Supercontig_3.4_1603085_1610261_DNA_hAT_reversed"" 6767 6832",DTX
CP075068.1,8327308,8327447,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 5418 5557",DTX
CP075068.1,8327360,8327447,"RIX-comp_Blc9_Supercontig_3.5_1591116_1597779_LINE_Tad1_reversed"" 1382 1468",RIX
CP075068.1,8327448,8334403,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 6957",RLX
CP075068.1,8334404,8336588,"RLX-incomp_Blc95_Cpos_C735-B-R2-Map7_reversed"" 1146 3366",RLX
CP075068.1,8336627,8337784,"RLX-incomp_Blc95_Cpos_C735-B-R2-Map7_reversed"" 2 1145",RLX
CP075068.1,8337785,8340673,"RXX-TRIM_Blc207_Cpos_C735-L-B65-Map1"" 1 1200",RXX
CP075068.1,8340529,8340713,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 8314 8489",DTX
CP075069.1,51,223,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 8314 8485",DTX
CP075069.1,88,1074,"RXX-TRIM_Blc207_Cpos_C735-L-B65-Map1"" 1 1804",RXX
CP075069.1,931,1611,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 7742 8457",DTX
CP075069.1,1647,9159,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 183 7741",DTX
CP075069.1,8012,10663,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 5878 8678",DTX
CP075069.1,8525,16592,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 343 8463",DTX
CP075069.1,15529,22758,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 504 7795",DTX
CP075069.1,22159,23188,"DTX-incomp-chim_Blc73_Supercontig_3.3_5020_13409_DNA_hAT_reversed"" 297 1314",DTX
CP075069.1,22834,24127,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 9 1252",DTX
CP075069.1,22847,23925,"RXX-LARD_Blc184_Cpos_C735-L-B59-Map1"" 1 1925",RXX
CP075069.1,23926,25878,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 8656 10582",DTX
CP075069.1,25879,26190,"RXX-LARD_Blc184_Cpos_C735-L-B59-Map1"" 1926 2485",RXX
CP075069.1,26052,33532,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 962 8452",DTX
CP075069.1,33533,40600,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 3 7072",RLX
CP075069.1,40607,41768,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 39 1259",DTX
CP075069.1,40834,43272,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 6276 8678",DTX
CP075069.1,41158,48619,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 1034 8463",DTX
CP075069.1,48148,51981,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 1141 4995",DTX
CP075069.1,51972,52269,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 7128 7425",RLX
CP075069.1,52270,55082,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 4982 7795",DTX
CP075069.1,54483,55519,"DTX-incomp-chim_Blc73_Supercontig_3.3_5020_13409_DNA_hAT_reversed"" 297 1314",DTX
CP075069.1,55268,55537,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 7845 8089",DTX
CP075069.1,55538,55837,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 1 299",RLX
CP075069.1,55820,55978,"RLX-comp-chim_Blc13_Cpos_C735-L-B38-Map1_reversed"" 7251 7410",RLX
CP075069.1,55979,56740,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 8903 9674",DTX
CP075069.1,56741,57083,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 1 299",RLX
CP075069.1,57082,57476,"RXX-TRIM_Blc207_Cpos_C735-L-B65-Map1"" 131 523",RXX
CP075069.1,57462,57638,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 7777 7950",DTX
CP075069.1,57658,57780,"RLX-incomp_Blc125_Cpos_C735-B-G3-Map20_reversed"" 3394 3513",RLX
CP075069.1,57884,58328,"RLX-incomp_Blc2_Supercontig_3.3_4083810_4093375_LTR_Gypsy"" 2 447",RLX
CP075069.1,58311,59013,"RLX-comp-chim_Blc13_Cpos_C735-L-B38-Map1_reversed"" 6587 7282",RLX
CP075069.1,59008,65288,"RLX-incomp-chim_Blc46_Cpos_C735-L-B9-Map1"" 4892 11297",RLX
CP075069.1,65289,65361,"DTX-incomp_Blc62_Supercontig_3.1_2730559_2740891_DNA_TcMar_reversed"" 8869 8969",DTX
CP075069.1,65362,65388,"DTX-incomp-chim_Blc51_Supercontig_3.4_25883_37108_DNA_TcMar_reversed"" 5642 5665",DTX
CP075069.1,65431,65445,"DTX-incomp_Blc62_Supercontig_3.1_2730559_2740891_DNA_TcMar_reversed"" 8852 8868",DTX
CP075069.1,65446,65561,"DTX-incomp-chim_Blc51_Supercontig_3.4_25883_37108_DNA_TcMar_reversed"" 5666 5781",DTX
CP075069.1,65562,68197,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 4188 6960",RIX
CP075069.1,68197,68529,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 3093 3425",RLX
CP075069.1,68526,70031,"RLX-incomp-chim_Blc2_Cpos_C735-L-B12-Map1_reversed"" 9078 10593",RLX
CP075069.1,70029,75091,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 9135 14195",RLX
CP075069.1,75093,82096,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 3 6960",RLX
CP075069.1,82097,84059,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 7127 9089",RLX
CP075069.1,84058,87858,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 9719 13517",RLX
CP075069.1,87859,88157,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 7129 7426",RLX
CP075069.1,88154,88604,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 6386 6835",RLX
CP075069.1,88533,88606,"RIX-incomp-chim_Blc85_Supercontig_3.4_3944873_3952133_LINE_Tad1_reversed"" 665 737",RIX
CP075069.1,88607,95680,"RLX-incomp_Blc18_Supercontig_3.3_935634_943341_LTR_Gypsy"" 632 7706",RLX
CP075069.1,95684,99946,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 6055 10325",DMX
CP075069.1,99991,100769,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 10326 11103",DMX
CP075069.1,100770,100939,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 5333 6289",DTX
CP075069.1,101024,101537,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6290 6854",DTX
CP075069.1,101538,102175,"RLX-incomp_Blc14_Supercontig_3.4_2918750_2926335_LTR_Gypsy_reversed"" 1 638",RLX
CP075069.1,102177,102418,"RLX-incomp-chim_Blc43_Cpos_C735-L-B5-Map1"" 10581 10822",RLX
CP075069.1,102407,102624,"RLX-incomp_Blc8_Supercontig_3.4_2603384_2611024_LTR_Gypsy_reversed"" 7085 7302",RLX
CP075069.1,102625,103305,"DTX-incomp_Blc232_Cpos_C735-B-G18-Map7_reversed"" 440 1120",DTX
CP075069.1,103306,103455,"RLX-incomp_Blc125_Cpos_C735-B-G3-Map20_reversed"" 3939 4088",RLX
CP075069.1,103451,103542,"DTX-incomp_Blc157_Supercontig_3.4_1543096_1546512_DNA_TcMar"" 2390 2481",DTX
CP075069.1,103543,103665,"DTX-comp_Blc115_Supercontig_3.5_740218_745388_DNA_TcMar_reversed"" 5048 5170",DTX
CP075069.1,103645,103693,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 5258 5306",DTX
CP075069.1,103692,103823,"RLX-incomp_Blc7_Supercontig_3.4_1671372_1676836_LTR_Copia_reversed"" 68 204",RLX
CP075069.1,106193,106315,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 5321 5446",RLX
CP075069.1,106339,106683,"RLX-incomp_Blc249_Cpos_C735-B-G93-Map3"" 306 651",RLX
CP075069.1,355485,355667,"DTX-incomp-chim_Blc84_Supercontig_3.3_1764626_1772066_DNA_TcMar"" 1 183",DTX
CP075069.1,359844,361457,"RLX-incomp_Blc144_Cpos_C735-B-R127-Map4"" 2427 4040",RLX
CP075069.1,362661,362811,"DTX-incomp_Blc157_Supercontig_3.4_1543096_1546512_DNA_TcMar"" 2331 2481",DTX
CP075069.1,362812,362934,"DTX-comp_Blc115_Supercontig_3.5_740218_745388_DNA_TcMar_reversed"" 5048 5170",DTX
CP075069.1,453335,455143,"DTX-incomp_Blc16_Cpos_C735-B-G25-Map4_reversed"" 3 1812",DTX
CP075069.1,576492,576512,"DTX-comp_Blc115_Supercontig_3.5_740218_745388_DNA_TcMar_reversed"" 5047 5067",DTX
CP075069.1,576513,577428,"noCat_Blc218_Cpos_C735-B-G8-Map17"" 3 1394",noCat_Blc218_Cpos_C735
CP075069.1,613702,613824,"RIX-incomp_Blc9_Cpos_C735-B-R58-Map20"" 6870 6987",RIX
CP075069.1,613726,613759,"noCat_Blc211_Cpos_C735-B-G2-Map20"" 27 99",noCat_Blc211_Cpos_C735
CP075069.1,613760,613818,"DTX-incomp-chim_Blc73_Supercontig_3.3_5020_13409_DNA_hAT_reversed"" 5492 5547",DTX
CP075069.1,764489,764660,"PotentialHostGene_Blc262_Supercontig_3.1_4713726_4714024_DNA_hAT"" 102 273","PotentialHostGene_Blc262_Supercontig_3.1_4713726_4714024_DNA_hAT"" 102 273"
CP075069.1,785800,785831,"RLX-comp_Blc6_Supercontig_3.1_627398_638025_LTR_Gypsy"" 8487 8518",RLX
CP075069.1,785833,785990,"RLX-incomp_Blc2_Cpos_C735-L-B31-Map1_reversed"" 8158 8313",RLX
CP075069.1,814357,816694,"DTX-incomp_Blc4_Supercontig_3.3_516889_519233_DNA_TcMar"" 7 2344",DTX
CP075069.1,936446,936505,"DYX-comp_Blc130_Supercontig_3.5_2432583_2437026_LTR_Ngaro"" 4385 4443",DYX
CP075069.1,1002488,1002624,"RLX-incomp_Blc3_Supercontig_3.1_2596039_2600711_LTR_Copia_reversed"" 1 137",RLX
CP075069.1,1099621,1100062,"DTX-incomp-chim_Blc63_Supercontig_3.2_1281305_1290824_DNA_TcMar_reversed"" 60 498",DTX
CP075069.1,1099712,1100448,"DTX-incomp_Blc33_Supercontig_3.3_2401237_2403074_DNA_TcMar"" 517 1250",DTX
CP075069.1,1102486,1102584,"DYX-comp_Blc130_Supercontig_3.5_2432583_2437026_LTR_Ngaro"" 2662 2761",DYX
CP075069.1,1102779,1102891,"DYX-comp_Blc130_Supercontig_3.5_2432583_2437026_LTR_Ngaro"" 3089 3203",DYX
CP075069.1,1197414,1197489,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 8264 8340",DTX
CP075069.1,1197491,1197578,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 5306 5395",DTX
CP075069.1,1457381,1457568,"RLX-incomp-chim_Blc53_Supercontig_3.1_6577961_6588666_LTR_Gypsy_reversed"" 9252 9439",RLX
CP075069.1,1457569,1457705,"RLX-incomp_Blc12_Supercontig_3.1_5060653_5071230_LTR_Gypsy"" 9133 9517",RLX
CP075069.1,1467130,1467352,"DTX-incomp_Blc157_Supercontig_3.4_1543096_1546512_DNA_TcMar"" 3044 3268",DTX
CP075069.1,1550789,1550862,"DTX-incomp_Blc148_Supercontig_3.1_2730027_2733961_DNA_TcMar"" 1826 1897",DTX
CP075069.1,1556498,1559225,"DTX-incomp_Blc131_Supercontig_3.6_1427844_1432284_DNA_TcMar_reversed"" 1734 4440",DTX
CP075069.1,1559255,1559452,"DTX-incomp_Blc131_Supercontig_3.6_1427844_1432284_DNA_TcMar_reversed"" 1469 1676",DTX
CP075069.1,1559451,1559765,"DTX-incomp_Blc131_Supercontig_3.6_1427844_1432284_DNA_TcMar_reversed"" 27 347",DTX
CP075069.1,1712450,1714259,"DTX-incomp_Blc16_Cpos_C735-B-G25-Map4_reversed"" 3 1813",DTX
CP075069.1,1911651,1912158,"DXX-MITE_Blc253_Cpos_C735-B-G83-Map3"" 1 502",DXX
CP075069.1,1914361,1914484,"RLX-incomp_Blc1_Supercontig_3.3_4104429_4111495_LTR_Gypsy_reversed"" 6763 6888",RLX
CP075069.1,1914485,1914518,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 10680 10838",DTX
CP075069.1,1926306,1926577,"RLX-incomp_Blc19_Supercontig_3.6_3354993_3360332_LTR_Gypsy_reversed"" 1 271",RLX
CP075069.1,1976697,1977181,"DXX-MITE_Blc253_Cpos_C735-B-G83-Map3"" 1 502",DXX
CP075069.1,1998705,1998913,"RLX-comp_Blc7_Supercontig_3.2_613609_619072_LTR_Copia_reversed"" 55 266",RLX
CP075069.1,2071639,2071694,"RLX-incomp-chim_Blc2_Cpos_C735-B-G77-Map20_reversed"" 5596 5652",RLX
CP075069.1,2071689,2071926,"RLX-incomp_Blc6_Supercontig_3.6_141905_152533_LTR_Gypsy"" 5590 5830",RLX
CP075069.1,2179054,2179098,"RLX-comp_Blc2_Cpos_C735-L-B20-Map1"" 9129 9173",RLX
CP075069.1,2179211,2179271,"DTX-incomp-chim_Blc5_Supercontig_3.4_1603085_1610261_DNA_hAT_reversed"" 22 82",DTX
CP075069.1,2179272,2179305,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 8341 8374",DTX
CP075069.1,2180099,2181005,"RLX-incomp_Blc159_Supercontig_3.4_97582_100931_LTR_Gypsy_reversed"" 3031 3349",RLX
CP075069.1,2182074,2183136,"RLX-incomp_Blc6_Supercontig_3.3_1907647_1918278_LTR_Gypsy_reversed"" 8878 9934",RLX
CP075069.1,2183390,2183505,"RLX-incomp_Blc6_Supercontig_3.3_1907647_1918278_LTR_Gypsy_reversed"" 8816 8916",RLX
CP075069.1,2188527,2190333,"DTX-incomp_Blc16_Cpos_C735-B-G25-Map4_reversed"" 1 1812",DTX
CP075069.1,2190245,2190351,"DTX-incomp-chim_Blc120_Cpos_C735-L-B54-Map1_reversed"" 3982 4080",DTX
CP075069.1,2234774,2234818,"RLX-incomp_Blc3_Supercontig_3.1_2596039_2600711_LTR_Copia_reversed"" 68 112",RLX
CP075069.1,2325024,2326585,"DTX-incomp_Blc222_Supercontig_3.4_3805835_3807195_DNA_TcMar_reversed"" 1 1546",DTX
CP075069.1,2326591,2330215,"RLX-incomp_Blc7_Supercontig_3.4_1671372_1676836_LTR_Copia_reversed"" 1 3626",RLX
CP075069.1,2330216,2337175,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 1 6960",RLX
CP075069.1,2337176,2339015,"RLX-comp_Blc7_Supercontig_3.5_557849_563312_LTR_Copia_reversed"" 3624 5463",RLX
CP075069.1,2339016,2339271,"DTX-incomp_Blc250_Cpos_C735-B-R57-Map3_reversed"" 350 605",DTX
CP075069.1,2377872,2380211,"DTX-comp_Blc10_Supercontig_3.5_2309270_2311617_DNA_TcMar"" 1 2340",DTX
CP075069.1,2380990,2381007,"DTX-incomp-chim_Blc73_Supercontig_3.3_5020_13409_DNA_hAT_reversed"" 5489 5507",DTX
CP075069.1,2381056,2381087,"DTX-incomp-chim_Blc73_Supercontig_3.3_5020_13409_DNA_hAT_reversed"" 5508 5539",DTX
CP075069.1,2568426,2568488,"DTX-incomp-chim_Blc51_Supercontig_3.4_25883_37108_DNA_TcMar_reversed"" 8467 8529",DTX
CP075069.1,2571812,2572050,"RLX-incomp_Blc19_Supercontig_3.6_3354993_3360332_LTR_Gypsy_reversed"" 1 214",RLX
CP075069.1,2572051,2572201,"RLX-comp_Blc3_Cpos_C735-L-B52-Map1"" 5146 5286",RLX
CP075069.1,2725744,2731058,"RLX-comp_Blc3_Supercontig_3.1_365926_371204_LTR_Copia"" 1 5310",RLX
CP075069.1,3043173,3043429,"DTX-incomp_Blc193_Supercontig_3.5_2549689_2551850_DNA_TcMar"" 1402 1664",DTX
CP075069.1,3045454,3045501,"RIX-comp_Blc9_Supercontig_3.2_4609766_4615786_LINE_Tad1"" 3038 3085",RIX
CP075069.1,3162489,3162517,"DTX-incomp_Blc5_Supercontig_3.1_743507_749293_DNA_hAT"" 65 93",DTX
CP075069.1,3355147,3355187,"DTX-incomp-chim_Blc69_Supercontig_3.1_2848002_2856807_DNA_TcMar_reversed"" 7219 7234",DTX
CP075069.1,3355188,3358529,"DTX-comp_Blc4_Cpos_C735-B-R21-Map20"" 1 2872",DTX
CP075069.1,3358530,3365526,"RLX-comp-chim_Blc13_Cpos_C735-L-B38-Map1_reversed"" 2 7284",RLX
CP075069.1,3365480,3365658,"DTX-incomp-chim_Blc4_Supercontig_3.1_5007734_5010594_DNA_TcMar"" 2367 2543",DTX
CP075069.1,3365588,3365684,"DTX-incomp_Blc139_Supercontig_3.3_4152567_4156718_DNA_TcMar_reversed"" 1732 1829",DTX
CP075069.1,3365602,3365691,"DTX-incomp-chim_Blc177_Supercontig_3.1_2862159_2864902_DNA_TcMar"" 1579 1668",DTX
CP075069.1,3423865,3423927,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 5241 5309",RLX
CP075069.1,3436231,3436273,"DTX-incomp_Blc193_Supercontig_3.5_2549689_2551850_DNA_TcMar"" 226 271",DTX
CP075069.1,3450664,3450692,"DTX-incomp_Blc62_Supercontig_3.1_2730559_2740891_DNA_TcMar_reversed"" 3023 3152",DTX
CP075069.1,3450693,3450784,"DTX-incomp-chim_Blc96_Supercontig_3.2_4737649_4743922_DNA_TcMar_reversed"" 2351 2449",DTX
CP075069.1,3450735,3450966,"RLX-incomp_Blc1_Supercontig_3.2_396777_403704_LTR_Gypsy"" 2 154",RLX
CP075069.1,3450993,3451030,"RLX-incomp-chim_Blc50_Supercontig_3.6_86634_97877_DNA_hAT_reversed"" 7896 7932",RLX
CP075069.1,3451052,3452323,"DTX-incomp-chim_Blc69_Supercontig_3.1_2848002_2856807_DNA_TcMar_reversed"" 1344 2626",DTX
CP075069.1,3452323,3454270,"RLX-incomp-chim_Blc44_Cpos_C735-L-B6-Map1_reversed"" 1971 3928",RLX
CP075069.1,3454353,3454427,"DTX-incomp_Blc176_Cpos_C735-B-R44-Map3_reversed"" 2645 2727",DTX
CP075069.1,3454428,3458002,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 1659 5192",RLX
CP075069.1,3458475,3458540,"noCat_Blc211_Cpos_C735-B-G2-Map20"" 1139 1204",noCat_Blc211_Cpos_C735
CP075069.1,3458487,3458656,"DTX-incomp-chim_Blc69_Supercontig_3.1_2848002_2856807_DNA_TcMar_reversed"" 3061 3235",DTX
CP075069.1,3458666,3459911,"RIX-incomp_Blc9_Cpos_C735-B-R58-Map20"" 5712 6964",RIX
CP075069.1,3459945,3461169,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 434 1663",RLX
CP075069.1,3461170,3461556,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 1 387",RLX
CP075069.1,3461641,3461807,"DTX-incomp_Blc176_Cpos_C735-B-R44-Map3_reversed"" 2560 2726",DTX
CP075069.1,3461804,3462096,"RLX-incomp_Blc164_Supercontig_3.3_4099518_4102729_LTR_Gypsy"" 1892 2184",RLX
CP075069.1,3462099,3462668,"RLX-incomp_Blc164_Supercontig_3.3_4099518_4102729_LTR_Gypsy"" 1075 1715",RLX
CP075069.1,3462669,3462719,"DTX-incomp-chim_Blc74_Cpos_C735-B-G78-Map6"" 5958 6001",DTX
CP075069.1,3462766,3462782,"RLX-incomp_Blc164_Supercontig_3.3_4099518_4102729_LTR_Gypsy"" 1058 1074",RLX
CP075069.1,3462783,3462996,"DTX-incomp-chim_Blc74_Cpos_C735-B-G78-Map6"" 6002 6233",DTX
CP075069.1,3462997,3463090,"RIX-incomp_Blc9_Cpos_C735-B-R58-Map20"" 6640 6965",RIX
CP075069.1,3463091,3463908,"DTX-incomp-chim_Blc116_Supercontig_3.1_483399_488504_DNA_hAT_reversed"" 1232 2048",DTX
CP075069.1,3463910,3464257,"RLX-incomp_Blc133_Supercontig_3.3_4228961_4233304_LTR_Gypsy"" 1477 1823",RLX
CP075069.1,3464255,3464421,"DTX-incomp_Blc176_Cpos_C735-B-R44-Map3_reversed"" 2560 2726",DTX
CP075069.1,3464574,3464737,"DTX-incomp_Blc176_Cpos_C735-B-R44-Map3_reversed"" 2563 2726",DTX
CP075069.1,3464738,3465951,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 3982 5195",RLX
CP075069.1,3465952,3466249,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 7129 7426",RLX
CP075069.1,3466250,3466317,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 3918 3985",RLX
CP075069.1,3466316,3471849,"RLX-incomp-chim_Blc46_Cpos_C735-L-B9-Map1"" 5767 11297",RLX
CP075069.1,3471848,3472674,"DTX-incomp-chim_Blc116_Supercontig_3.1_483399_488504_DNA_hAT_reversed"" 1232 2059",DTX
CP075069.1,3472665,3473680,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 5912 6960",RIX
CP075069.1,3473681,3473710,"DTX-incomp-chim_Blc51_Supercontig_3.4_25883_37108_DNA_TcMar_reversed"" 5667 5698",DTX
CP075069.1,3473754,3475190,"RLX-incomp_Blc87_Supercontig_3.3_1941539_1948452_LTR_Gypsy_reversed"" 2 1442",RLX
CP075069.1,3475534,3475837,"RIX-incomp_Blc204_Cpos_C735-B-G23-Map20"" 1536 1839",RIX
CP075069.1,3475842,3476336,"DTX-incomp_Blc5_Supercontig_3.5_33765_39583_DNA_hAT_reversed"" 1 516",DTX
CP075069.1,3476452,3479309,"DTX-incomp_Blc5_Supercontig_3.5_33765_39583_DNA_hAT_reversed"" 555 3426",DTX
CP075069.1,3479306,3479613,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 7125 7432",RLX
CP075069.1,3479607,3481904,"DTX-incomp_Blc98_Supercontig_3.2_43901_49795_DNA_hAT"" 3492 5826",DTX
CP075069.1,3481905,3488093,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 1 6459",RLX
CP075069.1,3488091,3493946,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1027 6853",DTX
CP075069.1,3493947,3494567,"RLX-incomp_Blc249_Cpos_C735-B-G93-Map3"" 30 650",RLX
CP075069.1,3494568,3494686,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 5817 5889",DTX
CP075069.1,3494632,3495586,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 5716 6670",RIX
CP075069.1,3495565,3495657,"RIX-incomp_Blc145_Cpos_C735-B-R4-Map5_reversed"" 512 610",RIX
CP075069.1,3495587,3496401,"DTX-incomp-chim_Blc116_Supercontig_3.1_483399_488504_DNA_hAT_reversed"" 1232 2048",DTX
CP075069.1,3497323,3497619,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 3 300",RLX
CP075069.1,3498686,3499640,"RIX-incomp_Blc9_Cpos_C735-B-R58-Map20"" 1 967",RIX
CP075069.1,3499588,3502932,"RLX-incomp-chim_Blc48_Supercontig_3.3_4182630_4194094_LTR_Gypsy_reversed"" 2661 6000",RLX
CP075069.1,3502933,3509888,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 4 6960",RLX
CP075069.1,3509889,3510509,"RLX-incomp-chim_Blc44_Cpos_C735-L-B6-Map1_reversed"" 8618 9239",RLX
CP075069.1,3510511,3512387,"RLX-incomp_Blc18_Supercontig_3.4_2979166_2986798_LTR_Gypsy"" 5733 7600",RLX
CP075069.1,3512375,3518064,"RLX-incomp_Blc18_Supercontig_3.4_2979166_2986798_LTR_Gypsy"" 1 7600",RLX
CP075069.1,3518066,3518190,"RLX-incomp-chim_Blc48_Supercontig_3.3_4182630_4194094_LTR_Gypsy_reversed"" 1662 1786",RLX
CP075069.1,3518180,3521638,"RLX-incomp-chim_Blc46_Cpos_C735-L-B9-Map1"" 4331 7790",RLX
CP075069.1,3518191,3518213,"RLX-incomp_Blc30_Supercontig_3.1_78256_80550_LTR_Gypsy_reversed"" 1988 2131",RLX
CP075069.1,3519640,3525112,"RLX-comp_Blc27_Supercontig_3.2_5162302_5169224_LTR_Gypsy_reversed"" 1447 6922",RLX
CP075069.1,3525114,3526145,"RLX-incomp-chim_Blc44_Cpos_C735-L-B6-Map1_reversed"" 1745 2785",RLX
